,0,1,2
46,Paul Kendall,2000 Masters Tournament,"The 2000 Masters Tournament was the 64th Masters Tournament, held April 6–9 at Augusta National Golf Club in Augusta, Georgia. Vijay Singh won his only Masters, three strokes ahead of runner-up Ernie Els. It was the second of Singh's three major titles."
47,Paul Kendall,2016 Cleveland Browns season,"The 2016 Cleveland Browns season was the franchise's 68th season as a professional sports franchise, its 64th as a member of the National Football League and its first under head coach Hue Jackson and de facto general manager Sashi Brown. "
48,Thomas Lamb,Oregon Treaty,"The Oregon Treaty is a treaty between the United Kingdom and the United States that was signed on June 15, 1846, in Washington, D.C. Signed under the presidency of James K. "
49,Ray Metcalfe,"Alaska gubernatorial election, 1998","The 1998 Alaska gubernatorial general election took place on November 3, 1998. The election resulted in a landslide for the Democratic incumbent, Tony Knowles, who had won the 1994 gubernatorial election by only 536 votes. "
50,Ray Metcalfe,"United States Senate election in Alaska, 2016","The 2016 United States Senate election in Alaska was held on November 8, 2016, to elect a member of the United States Senate to represent the State of Alaska, concurrently with the 2016 U.S. presidential election, as well as other elections to the United States Senate in other states and elections to the United States House of Representatives and various state and local elections.
"
51,Ray Metcalfe,"United States House of Representatives election in Alaska, 2006","The Alaska Congressional election of 2006 was held on Tuesday, November 7, 2006. The term of the state's sole Representative to the United States House of Representatives expired on January 3, 2007. "
52,Edgar Blatchford,"Alaska gubernatorial election, 2018","The 2018 Alaska gubernatorial election will take place on November 6, 2018, to elect the Governor and Lieutenant Governor of Alaska. Incumbent Governor Bill Walker is running for reelection to a second term again as an Independent candidate. In the primaries for recognized political parties, candidates for Governor and Lieutenant Governor run separately. "
53,Edgar Blatchford,"United States Senate election in Alaska, 2016","The 2016 United States Senate election in Alaska was held on November 8, 2016, to elect a member of the United States Senate to represent the State of Alaska, concurrently with the 2016 U.S. presidential election, as well as other elections to the United States Senate in other states and elections to the United States House of Representatives and various state and local elections.
"
54,John McCain,John McCain lobbyist controversy,"On February 21, 2008, in the midst of John McCain's campaign in the 2008 Republican presidential primaries, both The New York Times and the Washington Post published articles detailing rumors of an improper relationship between John McCain and lobbyist Vicki Iseman.
"
55,John McCain,"United States presidential election in Alabama, 2008","The 2008 United States presidential election in Alabama took place on November 4, 2008, and was part of the 2008 United States presidential election. "
56,Kelli Ward,"United States Senate special election in Arizona, 2020","The United States Senate special election in Arizona, 2020 will be held on November 3, 2020 following the death of Republican U.S. Senator John McCain on August 25, 2018. "
57,Kelli Ward,"United States Senate election in Arizona, 2016","The 2016 United States Senate election in Arizona was held on November 8, 2016, to elect a member of the U.S. Senate to represent the State of Arizona, concurrently with the 2016 U.S. presidential election, as well as other elections to the Senate in other states and elections to the U.S. "
58,Kelli Ward,"United States Senate election in Arizona, 2018","The 2018 United States Senate election in Arizona will take place on November 6, 2018, to elect a member of the United States Senate to represent the State of Arizona and replace Jeff Flake, who is not running for re-election. "
59,Sean Webster,"United States presidential election, 1828","The United States presidential election of 1828 was the 11th quadrennial presidential election, held from Friday, October 31, to Tuesday, December 2, 1828. "
60,Ann Kirkpatrick,"Phoenix mayoral election, 2018","The 2018 Phoenix mayoral election will take place in November 2018, to elect the Mayor of Phoenix, Arizona. The election is officially nonpartisan, all candidates will run on the same ballot. "
61,Ann Kirkpatrick,"Arizona elections, 2016","The general election was held in the U.S. state of Arizona on November 8, 2016, as part of the 2016 General Election. Arizona voters chose 11 electors to represent them in the Electoral College via a popular vote. "
62,Ann Kirkpatrick,"United States Senate election in Arizona, 2016","The 2016 United States Senate election in Arizona was held on November 8, 2016, to elect a member of the U.S. Senate to represent the State of Arizona, concurrently with the 2016 U.S. presidential election, as well as other elections to the Senate in other states and elections to the U.S. "
63,Alex Bello,2010 U.S. Open,"The 2010 United States Open Championship was the 110th U.S. Open, held June 17–20 in Pebble Beach, California. Graeme McDowell of Northern Ireland won his first major title, one stroke ahead of runner-up Grégory Havret of France. "
64,Alex Bello,2017 European Tour,The 2017 European Tour was the ninth edition of the Race to Dubai and the 46th season of golf tournaments since the European Tour officially began in 1972.
65,Alex Bello,2008 Clásico RCN,"The 48th edition of the annual Clásico RCN was held from October 19 to October 26, 2008 in Colombia. The stage race with an UCI rate of 2.3 started with a time trial on the island San Andrés and finished in Cali."
66,Gary Swing,"United States Senate election in Colorado, 1998","The 1998 United States Senate election in Colorado was held November 3, 1998, alongside other elections to the United States Senate in other states as well as elections to the United States House of Representatives and various state and local elections. "
67,Gary Swing,"United States Senate elections, 1998","The 1998 United States Senate elections were a even contest between the Republican and Democratic parties. While the Democrats had to defend more seats up for election, Republican attacks on the morality of President Bill Clinton failed to connect with voters and anticipated Republican gains did not materialize. "
68,John Boozman,"Arkansas's 3rd congressional district special election, 2001","The United States House of Representatives special election in Arkansas's 3rd congressional district was held on November 20, 2001 to select the successor to Asa Hutchinson who resigned upon appointment as director of the Drug Enforcement Administration."
69,John Boozman,"United States Senate election in Arkansas, 2016","The 2016 United States Senate election in Arkansas was held November 8, 2016, to elect a member of the United States Senate to represent the State of Arkansas, concurrently with the 2016 U.S. presidential election, as well as other elections to the United States Senate in other states and elections to the United States House of Representatives and various state and local elections.
"
70,John Boozman,"United States Senate election in Arkansas, 1998","The 1998 United States Senate election in Arkansas was held November 3, 1998. Incumbent Dale Bumpers did not run for re-election, as he was retiring. U.S. "
71,Conner Eldridge,"United States Senate election in Arkansas, 2016","The 2016 United States Senate election in Arkansas was held November 8, 2016, to elect a member of the United States Senate to represent the State of Arkansas, concurrently with the 2016 U.S. presidential election, as well as other elections to the United States Senate in other states and elections to the United States House of Representatives and various state and local elections.
"
72,Conner Eldridge,"United States Senate elections, 2016","Elections to the United States Senate were held November 8, 2016. The presidential election, House elections, 14 gubernatorial elections, and many state and local elections were held on the same date.
"
73,Conner Eldridge,"United States House of Representatives elections in Arkansas, 2014","The 2014 United States House of Representatives elections in Arkansas was held on Tuesday, November 4, 2014 to elect the four U.S. Representatives from the state of Arkansas, one from each of the state's four congressional districts. "
74,Darryl Glenn,"United States Senate election in Colorado, 2016","The 2016 United States Senate election in Colorado was held November 8, 2016, to elect a member of the United States Senate to represent the State of Colorado, concurrently with the 2016 U.S. presidential election, as well as other elections to the United States Senate in other states and elections to the United States House of Representatives and various state and local elections.
"
75,Darryl Glenn,"United States Senate elections, 2016","Elections to the United States Senate were held November 8, 2016. The presidential election, House elections, 14 gubernatorial elections, and many state and local elections were held on the same date.
"
76,Jack Graham,2016 AFL Under 18 Championships,"The 2016 NAB AFL Under 18 Championships was the 21st edition of the AFL Under 18 Championships. A new format saw nine teams compete in the championships with four teams competing in division two; Northern Territory, NSW/ACT, Queensland, and Tasmania, and five teams compete in division one; Australian Alliance, South Australia, Vic Metro, Vic Country, and Western Australia, with Australian Alliance comprising the best players in division two. "
77,Robert Blaha,STS-61-H,"STS-61-H was a United States Space Shuttle mission planned to launch on June 24, 1986 using Columbia. However, it was cancelled after the Challenger disaster."
78,Robert Blaha,STS-29,"STS-29 was a NASA Space Shuttle mission, during which Space Shuttle Discovery inserted a Tracking and Data Relay Satellite into Earth orbit. "
79,Jon Keyser,"United States Senate election in Colorado, 2016","The 2016 United States Senate election in Colorado was held November 8, 2016, to elect a member of the United States Senate to represent the State of Colorado, concurrently with the 2016 U.S. presidential election, as well as other elections to the United States Senate in other states and elections to the United States House of Representatives and various state and local elections.
"
80,Jon Keyser,"United States Senate elections, 2016","Elections to the United States Senate were held November 8, 2016. The presidential election, House elections, 14 gubernatorial elections, and many state and local elections were held on the same date.
"
81,Ryan Frazier,"United States Senate election in Colorado, 2010","The 2010 United States Senate election in Colorado took place on November 2, 2010, alongside other elections to the United States Senate in other states as well as elections to the United States House of Representatives and various state and local elections. "
82,Ryan Frazier,"United States House of Representatives elections in Colorado, 2010","The 2010 congressional elections in Colorado were held on November 2, 2010 to determine who will represent the state of Colorado in the United States House of Representatives. "
83,Ryan Frazier,"United States Senate election in Colorado, 2016","The 2016 United States Senate election in Colorado was held November 8, 2016, to elect a member of the United States Senate to represent the State of Colorado, concurrently with the 2016 U.S. presidential election, as well as other elections to the United States Senate in other states and elections to the United States House of Representatives and various state and local elections.
"
84,Richard Blumenthal,"United States Senate election in Connecticut, 2016","The 2016 United States Senate election in Connecticut was held November 8, 2016, to elect a member of the United States Senate to represent the State of Connecticut, concurrently with the 2016 U.S. presidential election, as well as other elections to the United States Senate in other states and elections to the United States House of Representatives and various state and local elections.
"
85,Richard Blumenthal,Blumenthal v. Trump,"Richard Blumenthal, et al. v. Donald J. Trump, No. 1:17-cv-01154, is a case pending before the United States District Court for the District of Columbia. "
86,Richard Blumenthal,"Democratic Party presidential primaries, 2020","The 2020 Democratic Party presidential primaries and caucuses will be a series of electoral contests organized by the Democratic Party to select the 4,051 delegates to the Democratic National Convention and determine the Democratic nominee for President of the United States in the 2020 U.S. presidential election. "
87,Dan Carter,2008 Tri Nations Series,"The 2008 Tri Nations Series was the thirteenth annual Tri Nations competition between the national rugby union teams of New Zealand, Australia and South Africa. "
88,Dan Carter,2011 Super Rugby season,"The 2011 Super Rugby season was the first season of the new 15-team format for the Super Rugby competition, which involved teams from Australia, New Zealand and South Africa. "
89,Dan Carter,2005 New Zealand rugby union tour of Britain and Ireland,"The 2005 New Zealand rugby union tour of Britain and Ireland was a Grand Slam rugby union tour played by the New Zealand national rugby union team, also known as the All Blacks, in the United Kingdom and in the Republic of Ireland against their respective national teams. "
90,Richard Lion,Two Centuries of Black American Art,Two Centuries of Black American Art was a 1976 traveling exhibition of African-American art organized by the Los Angeles County Museum of Art. 
91,Jeffery Russell,Athletics at the 2015 Pan American Games – Men's 4 × 400 metres relay,The men's 4 x 400 metres sprint competition of the athletics events at the 2015 Pan American Games will take place between the 24 and 25 of July at the CIBC Pan Am and Parapan Am Athletics Stadium. 
92,Andrew Rule,Murder of Sheree Beasley,"Sheree Joy Beasley was an Australian schoolgirl from Rosebud, an outer suburb of Melbourne, Victoria.
Six year-old Sheree was kidnapped, raped, and murdered by Robert Arthur Selby Lowe in June 1991.
"
93,Andrew Rule,2001 AFL draft,"The 2001 AFL draft consisted of a national draft, a rookie draft, a pre-season draft and a trade period. The AFL draft is the annual draft of players by Australian rules football teams that participate in the main competition of that sport, the Australian Football League.
"
94,Andrew Rule,"Liverpool City Council election, 1882","Elections to Liverpool City Council were held on Wednesday 1 November 1882. One third of the council seats were up for election, the term of office of each councillor being three years.
Ten of the sixteen seats were uncontested.
After the election, the composition of the council was:"
95,Carlos Beruff,"United States Senate election in Florida, 2018","The 2018 United States Senate election in Florida will be held on November 6, 2018, alongside a gubernatorial election, U.S. House elections, and other state and local elections. "
96,Carlos Beruff,"United States Senate election in Florida, 2016","The 2016 United States Senate election in Florida was held November 8, 2016 to elect a member of the United States Senate to represent the State of Florida, concurrently with the 2016 U.S. presidential election, as well as other elections to the United States Senate in other states and elections to the United States House of Representatives and various state and local elections. "
97,Carlos Beruff,"United States Senate elections, 2016","Elections to the United States Senate were held November 8, 2016. The presidential election, House elections, 14 gubernatorial elections, and many state and local elections were held on the same date.
"
98,Dwight Young,2009 NBA Playoffs,The 2009 NBA Playoffs was the postseason tournament of the National Basketball Association's 2008–09 season. The tournament concluded with the Western Conference champion Los Angeles Lakers defeating the Eastern Conference champion Orlando Magic 4 games to 1 in the NBA Finals. 
99,Dwight Young,1981 San Francisco 49ers season,"The 1981 San Francisco 49ers season was their 32nd season in the National Football League. Under third-year head coach Bill Walsh, the team finished the regular season with a 13–3 record. "
100,Dwight Young,1987 Boston Red Sox season,"The 1987 Boston Red Sox season was the 87th season in the franchise's Major League Baseball history. The Red Sox finished fifth in the American League East with a record of 78 wins and 84 losses, 20 games behind the Detroit Tigers."
101,Alan Grayson,"Florida's 8th congressional district election, 2010","Florida's 8th U.S. congressional district is located in central Florida. Florida's 8th district is located in parts of Orange County, Lake County, Marion County and Osceola County. Most of Orlando is in the district, including Walt Disney World. "
102,Alan Grayson,"Florida's 8th congressional district election, 2006","The Florida 8th congressional district election, 2006 was an election for the United States House of Representatives. Republican Congressman Ric Keller defeated Democratic businessman Charlie Stuart to win a fourth term."
103,Alan Grayson,"Democratic Party presidential candidates, 2012","During the 2012 United States presidential election, 51 individuals sought the nomination of the Democratic Party. Incumbent President Barack Obama won the nomination unanimously at the 2012 Democratic National Convention and was re-elected as President in the general election by defeating Republican nominee Mitt Romney.
"
104,Pam Keith,"Nova Scotia general election, 2017","The 2017 Nova Scotia general election, formally the 40th Nova Scotia general election, was held on May 30, 2017, to elect members to the Nova Scotia House of Assembly.
The Liberals under Premier Stephen McNeil won re-election with a majority government."
105,Pam Keith,"Nova Scotia general election, 2013","The 2013 Nova Scotia general election, formally the 39th Nova Scotia general election, was held on October 8, 2013, to elect members to the Nova Scotia House of Assembly.
"
106,Rocky De La Fuente ,"United States presidential primaries in Puerto Rico, 2016","Although Puerto Rico did not participate in the November 8, 2016, general election because it is a territory and not a state, the five non-incorporated territories that send delegates to the United States House of Representatives participated in the presidential primaries.
"
107,Rocky De La Fuente ,"Reform Party presidential primaries, 2016",The Reform Party of the United States of America held primary elections for its presidential candidate in May 2016. Rocky De La Fuente ran unopposed.
108,Rocky De La Fuente ,"United States presidential election in American Samoa, 2016","American Samoa did not participate in the November 8, 2016, general election because it is a territory and not a state. However, the five non-incorporated territories that send Delegates to the House of Representatives did participate in the presidential primaries.
"
109,Johnny Isakson,"Georgia gubernatorial election, 1990","The 1990 Georgia gubernatorial election was held on November 6, 1990. Lieutenant Governor Zell Miller ran for governor after incumbent Joe Frank Harris was term-limited, and defeated Johnny Isakson, a member of the Georgia House of Representatives."
110,Johnny Isakson,"United States Senate election in Georgia, 2016","The 2016 United States Senate election in Georgia was held November 8, 2016, to elect a member of the United States Senate to represent the State of Georgia, concurrently with the 2016 U.S. presidential election, as well as other elections to the United States Senate in other states and elections to the United States House of Representatives and various state and local elections. "
111,Johnny Isakson,"United States Senate election in Georgia, 2010","The 2010 United States Senate election in Georgia took place on November 2, 2010. Incumbent Republican U.S. Senator Johnny Isakson won re-election to a second term."
112,Derrick Grayson,"United States Senate election in Georgia, 2020","The 2020 United States Senate election in Georgia will be held on November 3, 2020, to elect a member of the United States Senate to represent the State of Georgia, concurrently with the 2020 U.S. presidential election, as well as other elections to the United States Senate in other states and elections to the United States House of Representatives and various state and local elections."
113,Derrick Grayson,2016 Libertarian National Convention,The 2016 Libertarian National Convention was the gathering at which delegates of the Libertarian Party chose the party's nominees for President of the United States and Vice President of the United States in the 2016 national election. 
114,Jim Barksdale,"United States Senate election in Georgia, 2016","The 2016 United States Senate election in Georgia was held November 8, 2016, to elect a member of the United States Senate to represent the State of Georgia, concurrently with the 2016 U.S. presidential election, as well as other elections to the United States Senate in other states and elections to the United States House of Representatives and various state and local elections. "
115,Jim Barksdale,"United States presidential election in Mississippi, 2008","The 2008 United States presidential election in Mississippi took place on November 4, 2008, and was part of the 2008 United States presidential election. "
116,Jim Barksdale,"United States Senate elections, 2016","Elections to the United States Senate were held November 8, 2016. The presidential election, House elections, 14 gubernatorial elections, and many state and local elections were held on the same date.
"
117,John Coyne,1981 Skate America,"The 1981 Skate America was held in Lake Placid, New York. Medals were awarded in the disciplines of men's singles, ladies' singles, pair skating, and ice dancing."
118,John Coyne,1982 NHK Trophy,"The 1982 NHK Trophy was held in Tokyo. Medals were awarded in the disciplines of men's singles, ladies' singles, pair skating, and ice dancing."
119,Brian Schatz,"United States Senate election in Hawaii, 2016","The 2016 United States Senate election in Hawaii was held November 8, 2016, concurrently with the 2016 U.S. presidential election as well as other elections to the United States Senate and House of Representatives and various state and local elections. "
120,Brian Schatz,"United States Senate special election in Hawaii, 2014","The 2014 United States Senate election in Hawaii took place on November 4, 2014, the general Election Day in the United States, concurrently with other elections to the United States Senate in other states as well as elections to the United States House of Representatives and various state and local elections.
"
121,Brian Schatz,"Hawaii gubernatorial election, 2010","The Hawaii gubernatorial election of 2010 was held on November 2, 2010 to determine the next Governor and Lieutenant Governor of Hawaii. The winning candidates served a four-year term from 2010 to 2014. Incumbent Republican Governor Linda Lingle was term-limited in 2010 and not eligible to run for re-election. Former congressman Neil Abercrombie was declared the winner, defeating lieutenant governor Duke Aiona. Abercrombie was sworn in as the state's seventh Governor on December 6, 2010.
"
122,Makani Christensen,"United States Senate election in Hawaii, 2016","The 2016 United States Senate election in Hawaii was held November 8, 2016, concurrently with the 2016 U.S. presidential election as well as other elections to the United States Senate and House of Representatives and various state and local elections. "
123,Arturo Reyes,Boxing at the 2008 Summer Olympics – Featherweight,"The featherweight competition was the fourth-lowest weight class featured in amateur boxing at the 2008 Summer Olympics, and was held at the Workers Indoor Arena. Featherweights were limited to a maximum of 57 kilograms in body mass.
"
124,Arturo Reyes,2013 St. Louis Cardinals season,"The St. Louis Cardinals 2013 season was the 132nd for the baseball team in St. Louis, Missouri, the 122nd season in the National League, and the eighth at Busch Stadium III. On Opening Day, April 1, the St. "
125,Joy Allison,1990 Daytona 500,"The 1990 Daytona 500, the 32nd running of the event, was held on February 18, 1990 at Daytona International Speedway in Daytona Beach, Florida over 200 laps on the 2.5 mile asphalt tri-oval. "
126,Mike Crapo,"United States Senate election in Idaho, 1998","The 1998 United States Senate election in Idaho was held November 3, 1998 alongside other elections to the United States Senate in other states as well as elections to the United States House of Representatives and various state and local elections. "
127,Mike Crapo,"United States Senate election in Idaho, 2004","The 2004 United States Senate election in Idaho took place on November 2, 2004 alongside other elections to the United States Senate in other states as well as elections to the United States House of Representatives and various state and local elections. "
128,Mike Crapo,"United States Senate election in Idaho, 2016","The 2016 United States Senate election in Idaho was held November 8, 2016, to elect a member of the United States Senate to represent the State of Idaho, concurrently with the 2016 U.S. presidential election, as well as other elections to the United States Senate in other states and elections to the United States House of Representatives and various state and local elections. "
